daily_double,category,question,answer,type_id
0,ANCIENT HISTORY,"The Roman Empire went as far east as the Tigris River, while this man's empire reached all the way to India",Alexander the Great,11
0,ANCIENT HISTORY,"The Persians & the Medes were considered barbarians, people who didn't speak this language",Greek,11
0,ANCIENT HISTORY,Queen Hatshepsut of Egypt's 18th Dynasty dressed as a man so that she could remain this type of king,a pharaoh,11
0,ANCIENT HISTORY,"The Olympic Games began in 776 B.C., took a long break & reappeared in 1896 in this country",Greece,11
1,ANCIENT HISTORY,"At 16, Prince Siddhartha, later known as this, married his cousin",Buddha,11
0,ANCIENT HISTORY,Roman girls wore this famous garment until they married & adopted the stola or matron's dress,Toga,11
0,ANCIENT HISTORY,"This country's ""Six Dynasties"" period stretched from the fall of the Han in 220 to 589",China,11
0,ANCIENT HISTORY,"After this queen died in 30 B.C., Egypt fell under Roman domination",Cleopatra,11
0,ANCIENT HISTORY,The earliest boats on the Nile were made of bundles of this reed lashed together with rope,papyrus,11
0,ANCIENT HISTORY,"In the 5th century the Magyars were called the ""On Ogur"", which is where we get this country's name",Hungary,11
0,ANCIENT HISTORY,This 2-wheeled military vehicle was introduced to Egypt from Asia in the 2nd millennium B.C.,Chariot,11
0,ANCIENT HISTORY,In 1700 B.C. the palace of Knossos on this Minoan island was destroyed by an earthquake,Crete,11
0,ANCIENT HISTORY,"From age 7 to 60, males in this Greek city-state ate in government barracks, not at home",Sparta,11
1,ANCIENT HISTORY,In 201 B.C. he was the ruler of Carthage but Rome wanted him as a prisoner,Hannibal,11
0,ANCIENT HISTORY,In 59 this Roman emperor had his mother put to death when she objected to his fiddling around with Poppaea,Nero,11
0,ANCIENT HISTORY,"This Babylonian king's code states that if a son strikes his father, the son's hands shall be cut off",Hammurabi,11
1,ANCIENT HISTORY,"Born in China in 551 B.C., this teacher & philosopher is also referred to as Kongfuzi, or ""Master Kong\""",Confucius,11
0,ANCIENT HISTORY,Knossos on this island was the center of a highly developed civilization in the 2nd millennium B.C.,Crete,11
0,ANCIENT HISTORY,"Archaeological digs showed that Pompeii, Stabiae & this neighbor were resort cities for wealthy Romans",Herculaneum,11
0,ANCIENT HISTORY,The Ionian War was the last phase of this war in which Sparta finally conquered Athens in 404 B.C.,the Peloponnesian War,11
0,BIOLOGY,One difference between moths & butterflies is that moths hold these horizontally while at rest,their wings,18
0,BIOLOGY,Fecundity is the biological capacity of an organism to produce these,offspring,18
0,BIOLOGY,The world's first antibiotic; it was discovered in 1929,Penicillin,18
1,BIOLOGY,"This colorless, odorless liquid makes up over 60% of the human body's weight",water,18
0,BIOLOGY,In mammals the thorax is divided from the abdomen by this muscular sheet of tissue,diaphragm,18
0,BIOLOGY,"Term for one form of a gene that masks a recessive form, or for the leader of a group of animals",Dominant,18
0,BIOLOGY,"The Mesozoic era is known as the Age of these, such as snakes & iguanas today",Reptiles,18
0,BIOLOGY,The fin used as the chief means of locomotion for a fish,tail fin,18
0,BIOLOGY,Term used when a mass of bees leaves a hive with a queen to form a new colony,swarm,18
1,BIOLOGY,Flowers secrete this sugar-containing liquid to attract insect pollinators,nectar,18
0,BIOLOGY,"While most conifers are evergreens, the larch is this, dropping its leaves each year",deciduous,18
0,BIOLOGY,Bacteria in cattle intestines produce this gas implicated in global warming,Methane,18
0,BIOLOGY,In 1942 scientists got a much higher yield of this antibiotic from a moldy cantaloupe than with previous ways,Penicillin,18
0,BIOLOGY,In the 1940s a moldy cantaloupe in Peoria was found to yield a better strain of this drug than Dr. Fleming's,penicillin,18
1,BIOLOGY,"The water mammals called cetaceans are divided into dolphins, porpoises & these",whales,18
0,BIOLOGY,Some of these smallest blood vessels are so tiny that only one blood cell can pass through at a time,capillaries,18
0,BIOLOGY,"Humans belong to the class Mammalia, to the order Primates & to this genus & species",Homo sapiens,18
0,BIOLOGY,"Yours is endo-; a crab's is exo-; a jellyfish's is hydrostatic, made of fluid",a skeleton,18
0,BIOLOGY,"In lactation, milk is produced; in lacrimation, these are produced",tears,18
0,BIOLOGY,(The) Enzyme production of a cell is controlled by these parts of a chromosome,genes,18
0,BIRDS,The bat parrot probably got its name from sleeping in this position,upside-down,10
0,BIRDS,Bird pictured on the current U.S. $10 gold piece,eagle,10
